yearSeason,slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationxoriginal,locationY,locationYoriginal,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2020,2022-23,1610612749,1629670,Shot Chart Detail,Jordan Nwora,Milwaukee Bucks,Missed Shot,Layup Shot,2PT Field Goal,20221125,MIL,CLE,22200280,509,3,0,Restricted Area,Center,C,Less Than 8 ft.,-38,38,0,0,13,3,TRUE,FALSE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221127,MIL,DAL,22200298,402,3,4,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,39,0,TRUE,TRUE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20221130,NYK,MIL,22200316,135,1,1,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,38,0,TRUE,FALSE
2020,2022-23,1610612749,201950,Shot Chart Detail,Jrue Holiday,Milwaukee Bucks,Made Shot,Driving Layup Shot,2PT Field Goal,20221130,NYK,MIL,22200316,334,3,10,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,32,0,TRUE,TRUE
2020,2022-23,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,20221130,NYK,MIL,22200316,584,4,5,Restricted Area,Center,C,Less Than 8 ft.,-1,1,0,0,25,0,TRUE,TRUE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221202,MIL,LAL,22200331,71,1,5,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,59,0,TRUE,TRUE
2020,2022-23,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221202,MIL,LAL,22200331,358,3,10,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,40,0,TRUE,TRUE
2020,2022-23,1610612749,1626192,Shot Chart Detail,Pat Connaughton,Milwaukee Bucks,Made Shot,Putback Layup Shot,2PT Field Goal,20221203,CHA,MIL,22200339,500,3,0,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,14,0,TRUE,TRUE
2020,2022-23,1610612749,1630572,Shot Chart Detail,Sandro Mamukelashvili,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20221205,ORL,MIL,22200353,484,3,2,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,47,0,TRUE,FALSE
2020,2022-23,1610612749,203114,Shot Chart Detail,Khris Middleton,Milwaukee Bucks,Made Shot,Putback Layup Shot,2PT Field Goal,20221207,MIL,SAC,22200369,18,1,10,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,23,0,TRUE,TRUE
